repo,url,stars,language,category,file
feesuu/cluerag,https://github.com/feesuu/cluerag,,-,-,feesuu_cluerag.md
feiliu36/eoh,https://github.com/feiliu36/eoh,,-,-,feiliu36_eoh.md
feiliu36/llm4opt,https://github.com/feiliu36/llm4opt,,-,-,feiliu36_llm4opt.md
flowersteam/teachmyagent,https://github.com/flowersteam/teachmyagent,,-,-,flowersteam_teachmyagent.md
fusionbrainlab/gigaevo-core,https://github.com/fusionbrainlab/gigaevo-core,,-,-,fusionbrainlab_gigaevo-core.md
galaxy-brain-ai/mcog-core,https://github.com/galaxy-brain-ai/mcog-core,,-,-,galaxy-brain-ai_mcog-core.md
garrus800-stack/genesis-agent,https://github.com/garrus800-stack/genesis-agent,,-,-,garrus800-stack_genesis-agent.md
george-salafatinos/tictactoe-self-play,https://github.com/george-salafatinos/tictactoe-self-play,,-,-,george-salafatinos_tictactoe-self-play.md
gepa-ai/gepa,https://github.com/gepa-ai/gepa,,-,-,gepa-ai_gepa.md
gepa-ai/optimize-anything-artifact,https://github.com/gepa-ai/optimize-anything-artifact,,-,-,gepa-ai_optimize-anything-artifact.md
ghy0501/awesome-continual-learning-in-generative-models,https://github.com/ghy0501/awesome-continual-learning-in-generative-models,,-,-,ghy0501_awesome-continual-learning-in-generative-models.md
graph-rag/graphrag,https://github.com/graph-rag/graphrag,,-,-,graph-rag_graphrag.md
gumbel-ai/agent-debate,https://github.com/gumbel-ai/agent-debate,,-,-,gumbel-ai_agent-debate.md
gustolychees/contribai,https://github.com/gustolychees/contribai,,-,-,gustolychees_contribai.md
haotang1995/worldcoder,https://github.com/haotang1995/worldcoder,,-,-,haotang1995_worldcoder.md
haoxufd/openrlhf,https://github.com/haoxufd/openrlhf,,-,-,haoxufd_openrlhf.md
hkuds/ai-researcher,https://github.com/hkuds/ai-researcher,,-,-,hkuds_ai-researcher.md
hkust-knowcomp/awesome-llm-scientific-discovery,https://github.com/hkust-knowcomp/awesome-llm-scientific-discovery,,-,-,hkust-knowcomp_awesome-llm-scientific-discovery.md
huggingface/agents-course,https://github.com/huggingface/agents-course,,-,-,huggingface_agents-course.md
huggingface/smolagents,https://github.com/huggingface/smolagents,,-,-,huggingface_smolagents.md
ilsilfverskiold/awesome-llm-resources-list,https://github.com/ilsilfverskiold/awesome-llm-resources-list,,-,-,ilsilfverskiold_awesome-llm-resources-list.md
imgeorgiev/pwm,https://github.com/imgeorgiev/pwm,,-,-,imgeorgiev_pwm.md
immanuelxiv/ppo-self-play,https://github.com/immanuelxiv/ppo-self-play,,-,-,immanuelxiv_ppo-self-play.md
incidentfox/self-learning-ai-agent,https://github.com/incidentfox/self-learning-ai-agent,,-,-,incidentfox_self-learning-ai-agent.md
inclusionai/agenticlearning,https://github.com/inclusionai/agenticlearning,,-,-,inclusionai_agenticlearning.md
inclusionai/aworld,https://github.com/inclusionai/aworld,,-,-,inclusionai_aworld.md
internlm/polar,https://github.com/internlm/polar,,-,-,internlm_polar.md
internscience/internagent,https://github.com/internscience/internagent,,-,-,internscience_internagent.md
isenglab/awesomellm4apr,https://github.com/isenglab/awesomellm4apr,,-,-,isenglab_awesomellm4apr.md
jennyzzt/awesome-open-ended,https://github.com/jennyzzt/awesome-open-ended,,-,-,jennyzzt_awesome-open-ended.md
kadubon/audit-closed-ai-scientist,https://github.com/kadubon/audit-closed-ai-scientist,,-,-,kadubon_audit-closed-ai-scientist.md
kargarisaac/reflexion,https://github.com/kargarisaac/reflexion,,-,-,kargarisaac_reflexion.md
khykd/reflector,https://github.com/khykd/reflector,,-,-,khykd_reflector.md
knightnemo/awesome-world-models,https://github.com/knightnemo/awesome-world-models,,-,-,knightnemo_awesome-world-models.md
kodigitaccount/2026-roadmap-for-advance-ml-ai-generative-ai-agentic-ai,https://github.com/kodigitaccount/2026-roadmap-for-advance-ml-ai-generative-ai-agentic-ai,,-,-,kodigitaccount_2026-roadmap-for-advance-ml-ai-generative-ai-agentic-ai.md
krzysztofdudek/researcherskill,https://github.com/krzysztofdudek/researcherskill,,-,-,krzysztofdudek_researcherskill.md
labicon/curricullm,https://github.com/labicon/curricullm,,-,-,labicon_curricullm.md
lamm-mit/sciagentsdiscovery,https://github.com/lamm-mit/sciagentsdiscovery,,-,-,lamm-mit_sciagentsdiscovery.md
langchain-ai/langchain,https://github.com/langchain-ai/langchain,,-,-,langchain-ai_langchain.md
langchain-ai/langgraph,https://github.com/langchain-ai/langgraph,,-,-,langchain-ai_langgraph.md
langchain-ai/langsmith-sdk,https://github.com/langchain-ai/langsmith-sdk,,-,-,langchain-ai_langsmith-sdk.md
langchain-ai/open-swe,https://github.com/langchain-ai/open-swe,,-,-,langchain-ai_open-swe.md
large-model-rl-lib/openrlhf,https://github.com/large-model-rl-lib/openrlhf,,-,-,large-model-rl-lib_openrlhf.md
lastmile-ai/mcp-agent,https://github.com/lastmile-ai/mcp-agent,,-,-,lastmile-ai_mcp-agent.md
lean-dojo/leanagent,https://github.com/lean-dojo/leanagent,,-,-,lean-dojo_leanagent.md
legionio/lex-metacognition,https://github.com/legionio/lex-metacognition,,-,-,legionio_lex-metacognition.md
leofan90/awesome-world-models,https://github.com/leofan90/awesome-world-models,,-,-,leofan90_awesome-world-models.md
letta-ai/agentic-learning-sdk,https://github.com/letta-ai/agentic-learning-sdk,,-,-,letta-ai_agentic-learning-sdk.md
lfleon9b/sakana-ai-scientist-v2,https://github.com/lfleon9b/sakana-ai-scientist-v2,,-,-,lfleon9b_sakana-ai-scientist-v2.md
lightchen233/awesome-ai4research,https://github.com/lightchen233/awesome-ai4research,,-,-,lightchen233_awesome-ai4research.md
linear95/spag,https://github.com/linear95/spag,,-,-,linear95_spag.md
lingxi-agent/lingxi,https://github.com/lingxi-agent/lingxi,,-,-,lingxi-agent_lingxi.md
llmprogram/textgrad,https://github.com/llmprogram/textgrad,,-,-,llmprogram_textgrad.md
lmd0311/awesome-world-model,https://github.com/lmd0311/awesome-world-model,,-,-,lmd0311_awesome-world-model.md
logikon-ai/awesome-deliberative-prompting,https://github.com/logikon-ai/awesome-deliberative-prompting,,-,-,logikon-ai_awesome-deliberative-prompting.md
longman-max/selfthinker,https://github.com/longman-max/selfthinker,,-,-,longman-max_selfthinker.md
ltzheng/curriculummarl,https://github.com/ltzheng/curriculummarl,,-,-,ltzheng_curriculummarl.md
luh-ai-devnerds/llm-guided-curriculum-rl,https://github.com/luh-ai-devnerds/llm-guided-curriculum-rl,,-,-,luh-ai-devnerds_llm-guided-curriculum-rl.md
luo-junyu/awesome-agent-papers,https://github.com/luo-junyu/awesome-agent-papers,,-,-,luo-junyu_awesome-agent-papers.md
machuangtao/llm-kg4qa,https://github.com/machuangtao/llm-kg4qa,,-,-,machuangtao_llm-kg4qa.md
matebenyovszky/healing-agent,https://github.com/matebenyovszky/healing-agent,,-,-,matebenyovszky_healing-agent.md
mb-mal/awesome-ai-agents-frameworks,https://github.com/mb-mal/awesome-ai-agents-frameworks,,-,-,mb-mal_awesome-ai-agents-frameworks.md
mbzuai-oryx/awesome-llm-post-training,https://github.com/mbzuai-oryx/awesome-llm-post-training,,-,-,mbzuai-oryx_awesome-llm-post-training.md
mdalamin5/end-to-end-agentic-ai-automation-lab,https://github.com/mdalamin5/end-to-end-agentic-ai-automation-lab,,-,-,mdalamin5_end-to-end-agentic-ai-automation-lab.md
memodb-io/acontext,https://github.com/memodb-io/acontext,,-,-,memodb-io_acontext.md
mfolsom/rlvr-world,https://github.com/mfolsom/rlvr-world,,-,-,mfolsom_rlvr-world.md
mitchellgordon95/dspy,https://github.com/mitchellgordon95/dspy,,-,-,mitchellgordon95_dspy.md
modelcontextprotocol/servers,https://github.com/modelcontextprotocol/servers,,-,-,modelcontextprotocol_servers.md
mwasifanwar/meta-cognitive-learning-system,https://github.com/mwasifanwar/meta-cognitive-learning-system,,-,-,mwasifanwar_meta-cognitive-learning-system.md
mycelium-io/mycelium,https://github.com/mycelium-io/mycelium,,-,-,mycelium-io_mycelium.md
n4m3z/forge-council,https://github.com/n4m3z/forge-council,,-,-,n4m3z_forge-council.md
n8n-io/n8n,https://github.com/n8n-io/n8n,,-,-,n8n-io_n8n.md
nickatomlin/lm-selfplay,https://github.com/nickatomlin/lm-selfplay,,-,-,nickatomlin_lm-selfplay.md
nikivanstein/llamea,https://github.com/nikivanstein/llamea,,-,-,nikivanstein_llamea.md
noahshinn024/reflexion-human-eval,https://github.com/noahshinn024/reflexion-human-eval,,-,-,noahshinn024_reflexion-human-eval.md
onevcat/argue,https://github.com/onevcat/argue,,-,-,onevcat_argue.md
opendilab/awesome-exploration-rl,https://github.com/opendilab/awesome-exploration-rl,,-,-,opendilab_awesome-exploration-rl.md
opendilab/awesome-model-based-rl,https://github.com/opendilab/awesome-model-based-rl,,-,-,opendilab_awesome-model-based-rl.md
opendilab/awesome-rlhf,https://github.com/opendilab/awesome-rlhf,,-,-,opendilab_awesome-rlhf.md
openning07/awesome-curriculum-learning,https://github.com/openning07/awesome-curriculum-learning,,-,-,openning07_awesome-curriculum-learning.md
oxen-ai/self-rewarding-language-models,https://github.com/oxen-ai/self-rewarding-language-models,,-,-,oxen-ai_self-rewarding-language-models.md
paperwave/genenv,https://github.com/paperwave/genenv,,-,-,paperwave_genenv.md
pathway/alphaxos,https://github.com/pathway/alphaxos,,-,-,pathway_alphaxos.md
pgg3/evotoolkit,https://github.com/pgg3/evotoolkit,,-,-,pgg3_evotoolkit.md
pgg3/l-autoda,https://github.com/pgg3/l-autoda,,-,-,pgg3_l-autoda.md
pingcap/ossinsight,https://github.com/pingcap/ossinsight,,-,-,pingcap_ossinsight.md
polarseeker/openseeker,https://github.com/polarseeker/openseeker,,-,-,polarseeker_openseeker.md
polya20/textgrad,https://github.com/polya20/textgrad,,-,-,polya20_textgrad.md
punkpeye/awesome-mcp-servers,https://github.com/punkpeye/awesome-mcp-servers,,-,-,punkpeye_awesome-mcp-servers.md
qianlima-lab/awesome-lifelong-llm-agent,https://github.com/qianlima-lab/awesome-lifelong-llm-agent,,-,-,qianlima-lab_awesome-lifelong-llm-agent.md
